neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Kamppi,1h+kk+kph,apartment,24.8,202000,8145,1926,2/4,True,satisfactory,owned,D-2007
Munkkivuori,"1 h, kk, kph/wc...",apartment,25.0,180000,7200,1958,2/4,False,good,rented,G-2013
Etelä-haaga,1 h+kk+p,apartment,27.0,195500,7241,1962,1/4,False,good,owned,E-2007
Kruununhaka,1h+k,apartment,35.0,285000,8143,1928,3/7,True,good,owned,F-2013
Punavuori,"1h, avok",apartment,45.0,339000,7533,1931,2/5,True,good,owned,E-2008
Kallio,1h,apartment,15.5,135000,8710,1928,4/4,True,satisfactory,owned,G-2013
Kallio,"1h,kk,alkovi,kp...",apartment,29.0,200000,6897,1972,3/7,True,satisfactory,owned,G-2013
Vallila,"1 h, k, kph, al...",apartment,48.0,265000,5521,1929,1/4,False,good,rented,F-2007
"Kallio, hakaniemi",1h+kk,apartment,28.0,221000,7893,1961,3/8,True,satisfactory,owned,F-2013
Puotila,1h + alkovi + k,apartment,31.0,127000,4097,1961,1/3,False,good,rented,
Punavuori,1h+alkovi+keitt...,apartment,41.5,360000,8675,1929,2/6,True,satisfactory,owned,E
Kallio,"1h+kk,ikk.+wc",apartment,19.0,167500,8816,1939,5/6,True,satisfactory,owned,E-2013
Taka-töölö,"1h, k, kph, parvi",apartment,24.5,210000,8571,1938,4/6,True,good,owned,F-2013
Kallio,1h+kk+kph+parvi,apartment,31.0,245000,7903,1937,4/6,True,good,owned,F-2013
Kallio,1h+k+kph,apartment,37.0,220000,5946,1939,2/7,True,,owned,
Kallio,"1h, kk, kph",apartment,20.5,186000,9073,1936,1/4,False,good,owned,E-2007
Punavuori,"1h, avok, alk.,...",apartment,36.0,347000,9639,1931,3/5,True,good,owned,F-2013
Hietalahti,"1h, kk",apartment,20.0,233180,11659,1913,3/4,False,satisfactory,owned,D-2007
Taka-töölö,1h+kk+kph (yhti...,apartment,27.0,210000,7778,1913,3/5,False,good,owned,E-2018
Jätkäsaari,1h+kt,apartment,33.0,268000,8121,2018,4/8,True,good,owned,B-2018
Koskela,"1h, kt",apartment,27.0,209000,7741,2021,5/7,True,good,rented,A-2018
Lauttasaari,"1h, kk, lasitet...",apartment,29.5,222500,7542,1973,4/6,True,good,owned,D-2007
Herttoniemi,"1h, k, kph, ran...",apartment,33.5,237000,7075,1956,3/4,False,good,owned,F-2013
Alppila,"1h, pienoiskeit...",apartment,15.0,145000,9667,1924,2/3,False,satisfactory,owned,
Pohjois-haaga,"1h, k, kph",apartment,26.0,174000,6692,1957,3/4,False,good,owned,F-2013
Sörnäinen,1h+k,apartment,48.0,291000,6063,1912,2/5,False,satisfactory,owned,C-2007
Kallio,1 h+kk+kph,apartment,25.0,190000,7600,1913,3/6,True,satisfactory,owned,E-2007
Kallio,1h+avok+kph,apartment,26.0,190000,7308,1928,3/7,True,good,owned,D-2007
Punavuori,"1h, avok, kph, ...",apartment,20.5,232000,11317,1959,5/7,True,satisfactory,owned,F-2013
Itäkeskus,"1h,kk,s+lasit.p...",apartment,33.5,146830,4383,2000,6/6,True,satisfactory,rented,D
Oulunkylä,"1 h, avok, kph,...",apartment,27.0,183000,6778,1963,1/4,False,satisfactory,owned,E-2007
Kallio,"1h, avok, kph",apartment,27.0,195000,7222,1928,4/7,True,good,owned,D-2007
Käpylä,"1h, k",apartment,29.0,190000,6552,1943,1/3,False,good,rented,G-2013
Sörnäinen,1h+kk+kph,apartment,17.5,185000,10571,1938,5/7,True,good,owned,F-2013
Sörnäinen,"1h, kk, kph",apartment,18.5,161000,8703,1936, ,True,good,owned,G-2013
Ullanlinna,"1h, k, kph",apartment,34.0,306000,9000,1907,3/6,False,good,owned,F-2013
Mellunmäki,"1h, pienoiskeit...",apartment,34.5,94000,2725,1975,1/3,False,,owned,E-2007
Yliskylä,"1h,k, ranskalai...",apartment,35.0,120000,3429,1976,2/3,False,,owned,F-2007
Käpylä,"1h, kk",apartment,21.0,136500,6500,1946,1/4,False,satisfactory,rented,G-2013
Pohjois-haaga,"1h, k, kph",apartment,24.5,185000,7551,1956,6/10,True,good,owned,G-2013
Vallila,"1h, k, alkovi",apartment,33.0,198000,6000,1928,3/5,False,satisfactory,owned,G-2007
Laajasalo,"1h, k, p, kph",apartment,35.0,105000,3000,1970,2/3,False,satisfactory,rented,E-2013
Meilahti,"1h, kk, kh",apartment,23.0,187500,8152,1941,3/3,False,,owned,G-2013
Kallio,1h+avok+kph (yh...,apartment,27.0,155000,5741,1911,4/6,False,satisfactory,owned,F-2013
Kallio,"1 h, kk, ranska...",apartment,23.0,189000,8217,1957,3/4,False,satisfactory,owned,
Kallio,1h+kk,apartment,32.5,201000,6185,1946,5/7,True,satisfactory,owned,D-2007
Kamppi,1h+avok.+alk.+k...,apartment,28.5,279000,9789,1932,2/7,True,good,owned,D-2007
Pihlajisto,"1h, k, kph, vh,...",apartment,35.0,135879,3882,1974,8/9,True,good,owned,F
Taka-töölö,"1h, alkovi, kei...",apartment,40.0,284000,7100,1938,5/6,True,satisfactory,owned,F-2013
Lauttasaari,"1h, avok, s, pa...",apartment,37.5,269000,7173,1988,5/7,True,good,owned,C-2007
Vallila,"1h, k, kph",apartment,48.0,252075,5252,1927,2/4,False,good,rented,F-2013
Kallio,"1h,kk",apartment,21.5,170000,7907,1939,3/6,True,good,owned,F-2013
Vuosaari,"1h, kk, lasitet...",apartment,30.0,153000,5100,1971,4/5,True,good,owned,
Hakaniemi,"1h, k, kph",apartment,39.0,270000,6923,1928,4/7,True,satisfactory,owned,
Kruununhaka,1h+k+kph+parv.,apartment,40.5,344000,8494,1989,5/6,True,good,owned,B-2007
Jätkäsaari,"1h, avok, lasit...",apartment,22.0,237000,10773,2020,2/12,True,good,owned,C-2013
Kallio,1h,apartment,25.0,195000,7800,1927,5/7,True,,owned,F-2013
Hakaniemi,"1h, kk",apartment,28.0,191500,6839,1938,1/7,True,satisfactory,owned,D-2007
Malmi,"1h, k, kph, par...",apartment,31.0,135000,4355,1989,3/4,True,satisfactory,rented,
Vuosaari,1h+kk,apartment,26.0,145000,5577,1965,2/3,False,good,owned,E-2007
"Kallio, linjat","1h, kk, kph, vh",apartment,33.0,250000,7576,1961,3/7,True,good,owned,F-2013
Malmi,1h+kk,apartment,32.0,146000,4563,1985,2/2,False,satisfactory,owned,F-2013
Ullanlinna,"1h, alkovi, k, kph",apartment,36.0,334000,9278,1927,2/3,True,good,owned,F-2007
Lauttasaari,"1h, kk, parveke",apartment,37.4,244000,6524,1961,1/4,True,satisfactory,owned,G-2013
Sörnäinen,1h+k+alkovi+kph...,apartment,30.0,245500,8183,1927,2/7,True,good,owned,D-2007
Kallio,1h+kk,apartment,29.5,221787,7518,1961,3/6,True,,owned,E-2013
Kallio,"1h, avok, kph, ...",apartment,23.0,210000,9130,1961,2/8,True,good,owned,C-2018
Kallio,"1h, kk, kph",apartment,24.4,200000,8197,1929,6/6,True,good,owned,D-2007
