neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Kannelmäki,Kerrostalohuone...,apartment,72.0,215000,2986,1999,1/5,False,satisfactory,rented,
Lauttasaari,3h+ha+k,apartment,72.0,396000,5500,1941,5/5,True,good,owned,G-2013
Puistola,3h+k+s+kph+khh+...,rowhouse,73.0,304000,4164,1988,1/1,False,satisfactory,owned,
Länsi-pakila,"3h, k, s",rowhouse,75.5,330000,4371,1982,1/1,False,good,owned,F-2013
Mellunmäki,"3h, k, wc, ikk....",apartment,80.5,135000,1677,1971,1/5,True,satisfactory,owned,D-2013
Vesala,3h+k+s-kph,rowhouse,84.0,180000,2143,1985,-1/2,False,satisfactory,rented,E-2013
Vartioharju,"3h, k, erill wc...",rowhouse,84.5,265000,3136,1982,2/2,False,good,rented,
Lauttasaari / vattuniemi,3h+k+kph+las.p,apartment,60.0,348000,5800,1973,3/6,True,good,owned,E-2013
Meilahti,3h+avok.+kph,apartment,63.0,439000,6968,1945,1/7,True,good,owned,F
Malmi,"3h, kk, ph/s, p",apartment,66.0,225000,3409,2001,2/4,True,good,rented,E-2013
Etelä-haaga,"3h, k, lasitett...",apartment,67.0,357000,5328,1955,3/3,False,good,owned,G-2013
Laajasalo,3h+k,apartment,67.5,207500,3074,1975,1/3,False,satisfactory,owned,F-2013
Kurkimäki,3h+k+kph,apartment,74.5,158000,2121,1988,1/3,False,satisfactory,rented,E
Viikki,"3h+ k, s, lasit...",apartment,80.0,303000,3788,2009,4/5,True,good,rented,D-2007
Paloheinä,"3h, avok., kph/...",rowhouse,82.5,495000,6000,2020,1/1,False,good,owned,B-2018
Konala,"3h, avokeitti..",apartment,60.0,175100,2918,1963,4/5,True,good,owned,E-2018
Pajamäki,3h+k+kh+p,apartment,63.0,285000,4524,1959,4/8,True,good,rented,G-2013
Vartiokylä,"3h, k, kph/wc, ...",apartment,67.0,242000,3612,1965,1/3,False,good,owned,
Mellunmäki,"3h, k, kph, par...",apartment,70.0,152000,2171,1983,3/5,True,,rented,E-2007
Alppila,3h+k+kph+las.pa...,apartment,71.5,420000,5874,1962,7/8,True,good,owned,E-2007
Kontula,"3h, k, kph, eri...",apartment,75.0,135000,1800,1967,7/8,True,satisfactory,rented,G-2013
Mellunmäki,"3h, k, s, kph, p",apartment,75.0,280000,3733,2006,2/7,True,good,owned,C-2007
Töölö,"3h, k, halli,  ...",apartment,117.0,679000,5803,1936,2/7,True,,owned,F-2013
Länsi-pasila,"3 h, avokeitti&...",apartment,61.0,399000,6541,2013,3/5,True,good,owned,B-2018
Viikinmäki,3H+KT+S,apartment,70.5,403000,5716,2020,3/3,True,good,owned,C-2013
Tapaninvainio,"3h, k, pesuh, s...",apartment,71.0,180000,2535,1990, ,False,,rented,F
Konala,"3h,k,kph,vh, parv.",apartment,73.0,178000,2438,1985,2/2,False,satisfactory,rented,E-2018
Malminkartano,"3h, k, s, vh, p...",rowhouse,77.0,277000,3597,2005,-1/2,False,good,rented,E
Siltamäki,"3h, k, vh, parv.",apartment,58.5,225000,3846,2018,2/2,False,good,rented,C-2013
Laajasalo,"3h, kk, kph, vh...",apartment,60.0,224000,3733,1965,3/3,True,satisfactory,owned,F-2013
Vuosaari,3 h + k + kph +...,apartment,65.0,187500,2885,1973,1/5,True,good,owned,E
Myllypuro,"3 h, k, kph, vh...",apartment,72.0,208000,2889,1964,1/7,True,good,rented,F-2013
Malminkartano,3h+k+kph-s-wc+l...,apartment,74.0,229000,3095,1986,1/4,False,good,rented,E-2018
Siltamäki,3H+K,apartment,84.5,120000,1420,1971,2/2,False,,owned,F-2013
Tapanila,"3h, k, s/ph, wc",rowhouse,70.5,280000,3972,1982,1/1,False,good,owned,
Kumpula,"3h, k, kph, las...",apartment,74.5,295000,3960,1987,1/3,False,satisfactory,rented,D-2007
"Tullisaari, laajasalo",3H+K+S,apartment,69.0,340000,4928,2017,5/5,True,good,rented,C-2013
Lassila,"3h, k, kph, s, ...",apartment,73.5,243000,3306,1981,3/4,False,satisfactory,owned,F-2007
Patola,"3h,k,kph,wc,las...",apartment,76.5,220000,2876,1972,3/3,False,good,rented,E-2007
Ruskeasuo,"3h, kk, kph",apartment,54.0,300000,5556,1948,2/3,False,satisfactory,owned,G
Paloheinä,"3 h, k, kph, sa...",rowhouse,74.5,319000,4282,1985,1/1,False,good,rented,E
Herttoniemi,"3h, k, kph, vh, p",apartment,76.0,344000,4526,1956,2/4,True,satisfactory,rented,E-2013
Myllypuro,"3h, k, kph, s, ...",rowhouse,81.0,310000,3827,2016,-1/2,False,good,rented,C
Lauttasaari,"3 h, avok, s, k...",apartment,88.5,810000,9153,2011,1/6,True,good,owned,G
Alppila,3h+k+kph+vh+las...,apartment,57.5,350000,6087,1963,7/7,True,good,owned,E-2018
Lauttasaari,3h+pk+kh+vh+p,apartment,63.0,365000,5794,1964,3/4,True,satisfactory,owned,F-2013
Savela,"3h, avok, kph, p",apartment,70.5,225000,3191,1980,2/4,False,good,owned,F-2013
Myllypuro,"3h, k, s",rowhouse,72.0,265000,3681,1991,2/2,False,satisfactory,rented,E-2013
Viikinmäki,3H+K,apartment,72.0,389000,5403,2020,1/3,True,good,owned,C-2013
Vuosaari,"3 h, k, kph, er...",apartment,77.0,185000,2403,1967,5/7,True,satisfactory,owned,F
Tapaninvainio,"3h, k, kph/s, w...",rowhouse,80.5,240000,2981,1978,1/1,False,good,owned,F
Kannelmäki,"3h, k, las. par...",apartment,65.0,222000,3415,1962,2/4,False,good,rented,F-2013
Malmi,"3h, avok., kph, p",apartment,70.0,218000,3114,1965,3/3,False,good,owned,E-2013
Ullanlinna,"3h, k, vh, etei...",apartment,70.0,650000,9286,1961,7/8,True,good,owned,F-2013
Puotila,"3 h, k, vh ja p...",apartment,72.0,215000,2986,1961,2/3,False,good,rented,
Vuosaari,"3h, k, kh, s, p",apartment,75.0,202000,2693,2000,5/6,True,satisfactory,rented,E-2013
"Kaarela, kannelmäki",2-3h+k+kph+s+piha,rowhouse,56.0,263000,4696,1989,1/2,False,good,owned,G-2013
Tapulikaupunki,3h+k+kph+las.pa...,apartment,58.5,137000,2342,1976,1/4,False,good,owned,D-2007
Pajamäki,"3h, k, kph, vh,...",apartment,60.5,270000,4463,1959,1/8,True,good,rented,F-2013
Alppila,"3h,k,kph,parveke",apartment,61.0,367000,6016,1962,4/4,True,good,owned,E-2013
Vuosaari,"3h, avokeitti..",apartment,70.5,255000,3617,2001,1/4,True,good,rented,D-2007
Ullanlinna,"3h, k, kph, s, ...",apartment,87.0,635000,7299,2006,-1/3,True,good,owned,B-2007
Länsi-pakila,"3 h, k, tkh, kp...",rowhouse,86.0,325000,3779,1985,1/1,False,good,owned,E-2013
Meilahti,3h+k,apartment,71.0,460000,6479,1946,4/7,True,good,owned,F-2013
Tapanila,"3 h, k + s + kp...",rowhouse,74.5,299000,4013,1989,-1/2,False,good,owned,E-2013
Malmi,3h+avok+kph+et+...,apartment,56.5,199900,3538,1985,2/3,False,good,owned,E-2007
Ylä-malmi,"3-4h, k, s, 2xe...",rowhouse,105.0,360000,3429,1984,-1/3,False,good,owned,
Kannelmäki,3 H+ KK,apartment,56.0,191000,3411,1960,2/3,False,satisfactory,rented,E-2007
Kamppi,"3h, k, kh, lasi...",apartment,64.0,416000,6500,1979,3/7,True,,rented,F-2013
Toukola,3 h+kk+kph,apartment,54.5,316000,5798,1946,2/4,True,good,rented,G-2013
Meilahti,3h+k,apartment,64.2,390000,6075,1951,5/8,True,satisfactory,owned,E-2013
Malmi,"3h, k, s, parv.",apartment,68.5,192100,2804,1985,2/4,False,,owned,E
Laajasalo,"3h, k, vh, kph,...",rowhouse,72.5,200000,2759,1989,1/1,False,satisfactory,owned,E-2018
Lauttasaari,"3h, avok, s, p",apartment,73.0,515000,7055,2012,2/8,True,good,owned,D-2013
Tapanila,"3 h, k + s + kp...",rowhouse,74.5,299000,4013,1989,-1/2,False,good,owned,E-2013
Ramsinniemi,"3h, k, kph, s, ...",rowhouse,77.0,359000,4662,2008,-1/2,False,good,owned,D-2013
Käpylä,"3h, k, kph, wc",apartment,52.0,292000,5615,1940,3/3,False,good,rented,G-2013
Ullanlinna,"3h, k, kph",apartment,59.6,500000,8389,1927,3/4,False,good,owned,E-2013
Puotila,3h+k,apartment,66.0,231000,3500,1961,3/3,False,good,rented,D-2007
Konepaja,"3h, avok, s, p",apartment,72.0,454000,6306,2018,2/6,True,good,owned,C-2013
Puotinharju,3 h + k + kph +...,apartment,74.5,170000,2282,1964,5/5,True,satisfactory,rented,
Malminkartano,3h+k+rt+erill.w...,apartment,79.5,274000,3447,2008,4/4,True,good,rented,D-2013
Ullanlinna,"3h, k, kph, s, ...",apartment,87.0,870000,10000,1905,4/5,True,good,owned,G-2013
Tali,"3 h, avok, kph,...",apartment,95.5,507000,5309,2009,2/3,True,good,owned,F-2013
Vuosaari,3h+k+kph+parvek...,apartment,53.5,183000,3421,1965,1/5,True,good,owned,E-2007
Arabianranta,3h+avok+khh-til...,apartment,74.5,505000,6779,2013,4/4,True,good,owned,A-2007
Ullanlinna,4H,apartment,80.0,642000,8025,1928,5/8,True,satisfactory,owned,E-2018
Ilmala,3h+avokeitti...,apartment,87.5,485000,5543,2017,5/5,True,good, ,C-2013
Itä-pasila,3h+k,apartment,68.5,292000,4263,1976,7/13,True,satisfactory,rented,D-2013
Malmi,"3h, k, wc, kph,...",rowhouse,75.5,228000,3020,1986, ,False,satisfactory,rented,E-2007
Mellunkylä,"3h, kt, kph, s,...",rowhouse,83.5,277000,3317,1985,2/2,False,good,rented,E-2007
Kannelmäki,"3h, k, wc, kph,...",rowhouse,84.5,270000,3195,1976,-1/2,False,good,rented,E-2013
Malmi,"3h, k, kph, las...",apartment,70.0,190350,2719,1965,1/3,False,satisfactory,owned,E
Kontula,3H+K (yj. mukaa...,apartment,59.0,163000,2763,1966,2/7,True,good,rented,E-2007
Munkkivuori,"3h, k, kph, par...",apartment,66.0,338000,5121,1957,1/10,True,good,rented,G-2013
Lauttasaari,"3 h, k, p",apartment,80.0,554000,6925,1957,4/4,True,good,owned,E-2007
Etu-töölö,"3h, k, ph, hall...",apartment,119.0,765000,6429,1924,3/7,True,satisfactory,owned,F-2013
Meilahti,"3h, avok, kph",apartment,58.0,389000,6707,1949,2/8,True,good,owned,E-2007
Pajamäki,3h+k,apartment,60.0,260000,4333,1959,6/8,True,satisfactory,rented,F-2013
Puotila,3h+k,apartment,70.0,175000,2500,1963,3/4,True,,rented,D-2007
Kulosaari,3h+k+kh+parv.,apartment,77.5,401000,5174,1960,3/4,True,satisfactory,owned,E-2007
Vuosaari,"3h, k, lasitett...",apartment,72.0,200000,2778,1980,2/3,False,good,owned,E-2013
"Honkasuo, malminkartano","3h, k, s, kph, wc",rowhouse,72.0,282000,3917,2020,1/2,False,good,rented,B-2018
Eira,"3h, k, kph, vh",apartment,82.0,711500,8677,1912,1/3,False,good,owned,E-2007
Fallpakka,3h+k,apartment,74.0,156275,2112,1991,2/3,False,satisfactory,rented,D-2007
Taka-töölö,"3 h, k, kh",apartment,61.0,375000,6148,1938,3/6,True,satisfactory,owned,F-2007
Oulunkylä,"3h, k, kh, lasi...",apartment,64.5,280000,4341,1963,2/3,False,satisfactory,owned,E-2007
Puistola,"3h,k,s,at",rowhouse,72.5,248000,3421,1984,1/1,False,good,owned,
Etu-töölö,3h+k+kph+halli,apartment,96.0,600000,6250,1925,5/6,True,,owned,D-2007
Munkkivuori,"3h,k,kph,vh,las...",apartment,65.7,318000,4840,1957,1/4,False,satisfactory,rented,E-2013
Aurinkolahti,"3h, k, s + las....",apartment,68.0,312000,4588,2005,6/8,True,good,owned,D
Vuosaari,"3h, k, kph, las...",apartment,70.0,202000,2886,1967,3/3,False,good,owned,E-2007
Heikinlaakso,"2-3 h, th, avok...",rowhouse,93.0,279000,3000,1990,1/2,False,good,owned,
,"3h, k, rt, takk...",townhouse,145.0,435000,3000,1990,-1/1,False,satisfactory,owned,F-2013
,"3h, k, s",townhouse,69.0,272800,3954,2021,1/2,False,good,rented,B-2018
,"3h, k, s, ",townhouse,63.0,200000,3175,1965,-1/1,False,satisfactory,owned,
,"3h, k, s, wc",townhouse,95.0,350000,3684,1962,-1/1,False,satisfactory,owned,
,3h + rt + k + 2...,townhouse,100.0,410000,4100,1953, ,False,satisfactory,owned,
,"Oh, 2mh, k, rt,...",townhouse,66.0,265000,4015,1965,-1/2,False,satisfactory,owned,
,3h+k+kph+s+2xwc...,townhouse,96.5,378000,3917,2007,2/2,False,good,owned,D-2013
,"3h, k, sauna, t...",townhouse,120.0,360000,3000,1986,-1/1,False,satisfactory,owned,D-2018
,2h+h+k,townhouse,48.0,200000,4167,1952, ,False,,owned,
,"3 h, k, 2kph, s...",townhouse,113.0,365000,3230,1951,-1/3,False,good,owned,
,3h+k+kph+s+wc+piha,townhouse,83.0,232000,2795,1981,1/1,False,satisfactory,owned,
,"3h, k, rt, tkh,...",townhouse,155.0,580000,3742,1996,-1/2,False,good,owned,
,3h + k + s,townhouse,80.0,255000,3188,1941,1/1,False,,rented,
,"3 h, avok., sau...",townhouse,70.0,351000,5014,1990,1/1,False,good,owned,
,"3h, 2 keitti...",townhouse,90.0,195000,2167,1948,-1/2,False,satisfactory,rented,D-2018
,"3h, k, kph, sau...",townhouse,85.0,325000,3824,1970,1/1,False,satisfactory,owned,C-2007
Honkasuo,"4-5h, k, (s)",rowhouse,102.0,373300,3660,2021,1/2,False,good,rented,B-2018
Heikinlaakso,6h+k+kph x2+s+e...,townhouse,120.0,559000,4658,1988,-1/2,False,good,owned,D-2018
Vuosaari,5h+k+kph+s+eril...,rowhouse,123.5,404000,3271,1984,1/2,False,satisfactory,owned,
Torpparinmäki,"5h, k, 2kph, kh...",townhouse,213.5,650000,3044,2012,2/2,False,good,owned,A-2007
Oulunkylä,"6 - 8h, k, rh, ...",townhouse,327.0,1560000,4771,2004,3/3,False,good,owned,
Munkkiniemi,2h+avok+kph+p,apartment,53.0,385000,7264,1954,4/6,True,good,owned,D-2012
Puistola,"3-5 h, k, s",townhouse,88.0,283000,3216,1964,-1/1,False,satisfactory,owned,
Malminkartano,4h+k,rowhouse,88.5,247000,2791,1984,-1/2,False,good,rented,E-2013
Maunula,"4 - 5 h, k, kph...",apartment,91.2,214000,2346,1972,2/4,True,satisfactory,rented,E-2013
Torpparinmäki,"4-5h, k, s, kph...",townhouse,110.0,498000,4527,2017,-1/2,False,good,owned,
Etelä-haaga,"5 h, k, 3 x wc,...",rowhouse,157.0,878000,5592,1971,1/3,False,good,owned,
Myllypuro hallainvuori,4h+k+s,rowhouse,122.0,339000,2779,1989,2/2,False,good,rented,D-2013
Pukinmäki,4h+k+kh+wc+vh,rowhouse,83.5,300000,3593,1964,-1/2,False,satisfactory,owned,
Yliskylä,"4h, k, parveke",apartment,84.0,207000,2464,1976,3/3,False,satisfactory,owned,F-2013
Kaarela,3mh+oh+k+eteist...,apartment,84.5,246000,2911,1959,4/4,False,satisfactory,rented,E-2007
Paloheinä,"4h,k,s",rowhouse,86.5,371100,4290,1975,1/1,False,satisfactory,owned,
Meri-rastila,"4h, k, rt, kph,...",apartment,90.0,227000,2522,1991,2/3,False,good,rented,E-2007
Ala-tikkurila,4h+k+kellaritilat,townhouse,106.0,265000,2500,1959, ,False,satisfactory,owned,
Jollas,5h+avok+s+ 2kh+...,rowhouse,108.5,450000,4147,2001,1/2,False,good,owned,E-2018
Lauttasaari,"6h, k, halli",rowhouse,140.5,1210000,8612,1956,1/3,False,good,owned,G-2013
Yliskylä,4h+k,apartment,79.5,244000,3069,1973,6/10,True,satisfactory,owned,E-2007
Pukinmäki,"4h, k, s",rowhouse,86.0,358000,4163,1972,1/1,False,good,owned,E
Viikinranta,4h+k,rowhouse,90.0,372500,4139,1963,2/2,False,satisfactory,owned,
Länsi-pakila,"4h, k, s + k...",rowhouse,93.5,350000,3743,1974,-1/2,False,satisfactory,owned,E
Taka-töölö,4h+k+kph+wc,apartment,107.0,749000,7000,1935,2/7,True,good,owned,E-2018
Pukinmäki,4h+k+s+kph,rowhouse,81.0,270000,3333,1984,2/2,False,good,owned,E-2018
Länsi-pakila,5-6h+k+s,rowhouse,139.0,600000,4317,2015,-1/2,False,good,rented,C
Meilahti,"4h, k, kph, par...",apartment,86.0,605000,7035,1954,3/3,False,good,owned,F-2013
Etu-töölö,"4h, avok, s, p,...",apartment,102.5,985500,9615,2016,5/8,True,good,owned,C-2013
Punavuori,4h + k+ ph + kh,apartment,117.0,862000,7368,1914,2/4,False,good,owned,
Jollas,"5h, kt, rt, 2 x...",rowhouse,119.5,530000,4435,2019,1/2,False,good,rented,A-2018
Viikki,5-6h+k+s+iso la...,apartment,149.0,593000,3980,2006,6/7,True,good,rented,F-2013
Marjaniemi,,townhouse,193.0,1350000,6995,2018,1/3,False,good,owned,C-2013
Kamppi,"4h, k, s, kph, ...",apartment,90.5,620000,6851,1988,5/7,True,good,rented,C-2013
Kontula,4h + k + kh + w...,apartment,99.0,240000,2424,1966,7/9,True,good,owned,E-2013
Laajasalo,"4h, k, rt, kph,...",rowhouse,123.5,425000,3441,1975,1/2,False,good,owned,E-2013
Heikinlaakso,Oh+3mh+takkah+k...,townhouse,146.1,525000,3593,1994,2/2,False,good,owned,
Lauttasaari,"4h, k, ruokailu...",apartment,87.5,600000,6857,1961,2/4,True,good,owned,F
"Reimarla, konala, marttila, pajamäki, pitäjänmäki",4h+k,apartment,95.0,231000,2432,1973,1/6,True,good,owned,F-2013
Kontula,"4h,k, kph, eril...",apartment,75.0,172500,2300,1965,3/3,False,satisfactory,rented,G-2014
Mellunmäki,"5h, k, kph, p",apartment,112.0,273000,2438,1973,2/3,False,good,owned,
Munkkiniemi,4h+k+p,apartment,120.0,785000,6542,1959,4/6,True,satisfactory,owned,F-2013
Aurinkolahti,4h+kt+s+p,apartment,87.0,415000,4770,2017,4/7,True,good,owned,C
Töölö,"3h, k, halli, p...",apartment,100.0,748000,7480,1936,2/6,True,satisfactory,owned,E-2013
Pohjois-haaga,"4h, k, kph, eri...",apartment,91.4,219000,2396,1973,4/4,False,satisfactory,rented,E-2007
Kontula,4h+k+kph+lasite...,apartment,84.0,195000,2321,1965,3/3,False,satisfactory,owned,G-2013
Paloheinä,"3(-5)h, k, kph/...",rowhouse,101.0,465000,4604,1981,1/1,False,good,owned,
Kamppi,"yläk: 2 h,...",apartment,110.0,700000,6364,1961,2/2,True,good,owned,E-2007
Malminkartano,4h+k+s+terassi,apartment,102.5,293500,2863,1986,4/4,False,good,rented,E-2018
Puotila,4h+k+lasitettu ...,apartment,89.5,264000,2950,1961,3/3,False,good,rented,D-2007
Kruunuvuorenranta,"4h, kt, rt, kph...",apartment,94.5,499500,5286,2022,5/7,True,good,rented,B-2018
Konala,"4h,k,kph/wc,eri...",apartment,77.0,288800,3751,1970,4/4,True,good,owned,G-2013
Oulunkylä,4h+k+s+khh+parv...,rowhouse,110.0,420000,3818,1984,1/2,False,satisfactory,owned,
Maununneva,4h+avok+2kph+s,rowhouse,77.0,429000,5571,2021,2/2,False,good,owned,B-2018
Paloheinä,"4 h, k, kph, 2w...",rowhouse,98.0,350000,3571,1977,2/2,False,good,owned,F-2007
Konala,"4h, k, kph, eri...",apartment,103.0,450000,4369,2011,3/3,True,good,owned,E-2013
Yliskylä,5 h+k+s+2xwc+vh...,apartment,104.0,258000,2481,1972,2/3,True,satisfactory,owned,F-2007
Oulunkylä,"5h, k, saunaosa...",rowhouse,139.0,340000,2446,1974,1/3,False,,owned,
Länsi-pakila,"3-4 h, k, ask.h...",rowhouse,144.0,486000,3375,1972,1/2,False,satisfactory,owned,
Maununneva,4h+avok+2kph+s,rowhouse,77.0,425000,5519,2021,2/2,False,good,owned,B-2018
Maununneva,4h+avok+2kph+s,rowhouse,77.0,425000,5519,2021,2/2,False,good,owned,B-2018
Puistola,"4h, avok., kph,...",apartment,85.0,237000,2788,1986,2/2,False,good,rented,G-2013
Länsi-pakila,"3-4h, k, kph/2w...",rowhouse,92.0,545000,5924,2020,1/1,False,good,owned,B-2018
Suutarila,4h+avok+kph+eri...,apartment,95.5,220000,2304,1982,1/1,False,good,rented,G-2013
Hakuninmaa,5 h + k  + s,rowhouse,104.0,307000,2952,1992,1/2,False,good,rented,F-2007
"Hakaniemi, kallio",4h+avokeitti...,apartment,104.0,698000,6712,1989,6/7,True,good,owned,E-2018
Tapaninvainio,"5h,k,halli,sis&...",rowhouse,114.0,368000,3228,2009,-1/3,False,good,rented,F
Maununneva,4h+avok+2kph+s,rowhouse,77.0,425000,5519,2021,2/2,False,good,owned,B-2018
Kalasatama,4h+k+s+parveke+...,apartment,82.0,645000,7866,2018,2/5,True,good,owned,C-2013
Itäkeskus,4h+avok+s+kh+er...,apartment,87.0,245000,2816,1998,2/5,True,satisfactory,rented,F-2013
Vuosaari,"6h, k, rt, piha...",rowhouse,119.5,280000,2343,1969,1/2,False,satisfactory,owned,D-2018
Pukinmäki,4h+k+kph+eril.w...,apartment,80.0,245000,3063,1982,4/5,True,good,owned,F-2013
Vartioharju,4h+k+s,rowhouse,101.0,331000,3277,1982,1/2,False,satisfactory,owned,
Lauttasaari,"5h, avokeitti..",apartment,105.0,820000,7810,2019,6/6,True,good, ,C-2013
Länsi-pakila,"3-4h, k, kph/2w...",rowhouse,92.0,542000,5891,2020,1/1,False,good,owned,B-2018
Pihlajamäki,4h+k+kh+wc+p,apartment,99.5,240000,2412,1964,4/4,False,satisfactory,rented,E-2007
Tapaninkylä,"5h, k, kph, s, ...",townhouse,130.0,360000,2769,1967,-1/2,False,satisfactory,owned,
Etu-töölö,"5h, halli, k, 2...",apartment,245.6,1400000,5700,1928,7/7,True,good,owned,F-2013
Laajasalo,4h+k,apartment,82.5,233000,2824,1973,2/3,False,,owned,E-2013
Malmi,"4 h, k, 2 x wc,...",apartment,95.5,287000,3005,1986,3/3,False,good,rented,E-2007
Honkasuo,"4-5h, k, (s)",rowhouse,127.0,373300,2939,2021,1/2,False,good,rented,B-2018
Vuosaari,"4h, k, kph, wc, p",apartment,88.5,217000,2452,1965,3/3,False,satisfactory,owned,E-2013
Puistola,5h + k + s,rowhouse,106.0,330000,3113,1985,1/1,False,good,rented,D-2007
Veräjämäki,"5h, k, kph,s,vh...",rowhouse,109.0,448000,4110,1982,-1/2,False,satisfactory,owned,
Vuosaari,"4-5 h, avok, kp...",rowhouse,124.5,415000,3333,1981,-1/2,False,good,owned,F
Meilahti,"4-5h, avok, kph...",apartment,130.0,620000,4769,1939,2/9,True,good,owned,F-2013
Maununneva,"4h, k, rt, takk...",rowhouse,155.0,385000,2484,1976,1/1,False,good,owned,D-2018
Puistola,"4-5h,k,khh,s,ak",townhouse,164.0,620000,3780,2012,2/2,False,good,owned,A-2013
Munkkiniemi,"1.krs: oh,k,rt,...",rowhouse,245.5,1900000,7739,2015,1/3,False,good,owned,C
Katajanokka,"6h, k, halli, 3...",apartment,283.0,2391025,8449,1885,4/5,True,satisfactory,owned,G-2013
Konala,"4h, avok, kph, ...",apartment,62.0,218985,3532,1964,2/3,False,good,owned,E-2013
Lauttasaari,4-5h+k+kph+wc+p...,rowhouse,86.5,792000,9156,1958,3/3,False,satisfactory,owned,G-2007
Arabianranta,4h + k + s,apartment,87.0,540000,6207,2008,7/8,True,good,owned,E-2013
Maunula,4h+k+s+p,apartment,94.9,320000,3372,1971,4/4,True,good,rented,E-2013
Punavuori,4h+k+kph (yhti&...,apartment,106.0,14179,134,1912,2/4,True,good,owned,E-2007
Punavuori,4h+k+kph (yhti&...,apartment,106.0,368657,3478,1912,2/4,True,good,owned,E-2007
Punavuori,4h+k+kph (yhti&...,apartment,106.0,567164,5351,1912,2/4,True,good,owned,E-2007
Kulosaari,4-5h+k+kph+wc+k...,apartment,107.0,675000,6308,1960,2/4,True,good,owned,E-2007
Pohjois-haaga,"4h, k, kph, eri...",apartment,113.0,310000,2743,1972,2/3,True,good,owned,E-2018
Vuosaari,"4h,k,kph,s,tkh,...",rowhouse,113.0,380000,3363,1980,1/1,False,good,owned,E-2013
Konala,4h+k+s+kph+khh+...,townhouse,126.0,510000,4048,2004,3/3,False,good,owned,
Ala-tikkurila,4h+k+khh+kph+er...,townhouse,99.0,449000,4535,2017,2/2,False,good,owned,B-2013
Hakuninmaa,"4h, avok., vh, ...",rowhouse,99.5,308000,3095,1985,2/2,False,satisfactory,rented,E-2007
Tapanila,4h+k+sauna,rowhouse,101.0,380000,3762,2008,2/2,False,good,rented,F-2013
Suutarila,"5-6h, k, s/ph, ...",rowhouse,111.0,279000,2514,1978,-1/2,False,satisfactory,owned,F-2007
Taka-töölö,"4h, avok, kk, 2...",apartment,125.5,950000,7570,1938,6/6,True,good,owned,F-2013
Itä-pakila,"4-5h, k, 2kph, ...",rowhouse,152.0,425000,2796,2007,2/2,False,good,owned,
Munkkiniemi,"5 h, k, kph, wc...",apartment,96.0,590100,6147,1936,3/6,True,satisfactory,owned,F-2013
Kamppi,"4h, k, halli, k...",apartment,120.0,970000,8083,1889,1/5,False,good,owned,G-2013
"Kamppi, hietalahti",4h+k+khh+vh+sau...,apartment,133.0,1210000,9098,1927,3/7,True,good,owned,D-2018
Maununneva,4h+avok+2kph+s,rowhouse,77.0,418000,5429,2021,2/2,False,good,owned,B-2018
Kannelmäki,4h+k+kph-wc+vh+...,apartment,80.5,236000,2932,1959,3/4,False,satisfactory,rented,E-2018
Viikinmäki,"4 h, avokeitti&...",apartment,88.5,380400,4298,2022,2/3,True,good,rented,B-2018
Pikku huopalahti,4h+k,apartment,90.5,470000,5193,1990,2/4,False,good,rented,F-2013
Tammisalo,"4h,kt,kph,sh,s,...",rowhouse,92.5,835000,9027,2020,3/3,False,good,owned,B-2018
Lauttasaari,"4h, k, 2 kph + p",apartment,116.0,700000,6034,1941,5/5,True,satisfactory,owned,G-2013
Jollas,5h+k+s,rowhouse,159.0,515000,3239,1991,3/3,False,good,rented,
Malminkartano,"4h, k, kph, wc, p",apartment,83.5,175000,2096,1989,2/3,False,satisfactory,rented,F-2013
Vuosaari / meri-rastila,4h+k+s,apartment,85.0,196000,2306,1990,3/3,True,,rented,E-2013
Helsinki,"4h,k, parveke",apartment,105.0,821000,7819,1938,6/6,True,satisfactory,owned,
Laajasalo,"4h, k, erill wc...",apartment,82.0,278000,3390,1975,2/3,False,satisfactory,owned,F-2013
Tapanila,"4h, k, rt, saun...",rowhouse,131.0,366000,2794,1994,1/3,False,good,owned,F-2013
Länsi-pakila,4h+k+rt+kph+wc+...,rowhouse,96.5,321000,3326,1970,1/1,False,satisfactory,owned,E-2013
Viikki,"5h, k, s, kph, ...",rowhouse,117.0,468000,4000,2006,-1/2,False,good,rented,E-2007
Hakuninmaa,"5 h, k, khh, 2w...",townhouse,127.0,375000,2953,1955,-1/2,False,satisfactory,owned,F-2018
Lauttasaari,"5h, k, s, p",apartment,130.2,1040000,7988,1969,2/2,False,good,owned,D-2007
Lauttasaari,4h+k+kph+erill....,apartment,99.0,635000,6414,1963,1/4,True,good,owned,E-2013
Metsälä,"4 h, k, vaatehu...",rowhouse,119.5,434500,3636,1974,-1/2,False,satisfactory,owned,
Rastila,4h+k+s+kph+kht+...,rowhouse,135.0,410000,3037,1979, ,False,good,owned,
Vesala,4h+k+wc+kph/sau...,rowhouse,84.0,210000,2500,1985,1/2,False,satisfactory,owned,D-2013
Tapulikaupunki,4h+k,apartment,89.5,180000,2011,1991,1/4,True,satisfactory,rented,D-2013
Herttoniemenranta,"4h, k, kph/s, e...",apartment,101.5,487000,4798,2008,3/6,True,good,rented,E-2013
Länsi-pakila,4h+k+sauna,rowhouse,77.0,309000,4013,1966,1/1,False,satisfactory,owned,E-2013
